7-zip 23.01-1
alsa-firmware 1.2.4-3
alsa-plugins 1:1.2.7.1-2
alsa-tools 1.2.5-2
alsa-utils 1.2.10-1
archlinux-keyring 20230918-1
aria2 1.36.0-1
autoconf 2.71-4
automake 1.16.5-2
awesome-terminal-fonts 1.1.0-4
base 3-1
base-devel 1-1
bash-completion 2.11-3
binutils 2.41-3
bison 3.8.2-6
blackarch-config-icons 6.f4bf107-1
blackarch-keyring 20180925-5
btrfs-progs 6.5.1-1
cewl 151.1c3b076-1
checksec 2.6.0-1
chromium 117.0.5938.88-1
cmake 3.27.5-1
debugedit 5.0-5
dmenu 5.2-1
dnssec-tools 2.2.3-11
docker 1:24.0.5-1
docker-compose 2.20.3-1
droopescan 1.45.1-3
evil-winrm 1:v3.5.r0.g7514b05-1
exploitdb 20230722-1
fakeroot 1.32.1-1
feh 3.10-1
ffmpegthumbnailer 2.2.2-5
file 5.45-1
findutils 4.9.0-3
firefox 117.0.1-1
flameshot 12.1.0-2
flex 2.6.4-5
gawk 5.2.2-1
gcc 13.2.1-3
gdb 13.2-1
gdu 5.25.0-1
gettext 0.22-1
gimp 2.10.34-3
git 2.42.0-1
github-cli 2.35.0-1
gobuster 2:365.886c327-1
grep 3.11-1
groff 1.23.0-5
grpcui 1.3.1-1
grpcurl 1.8.7-1
grub 2:2.12rc1-1
gtkmm-4.0 4.12.0-1
gtkmm3 3.24.8-1
gvfs 1.52.0-1
gvfs-afc 1.52.0-1
gvfs-goa 1.52.0-1
gvfs-google 1.52.0-1
gvfs-gphoto2 1.52.0-1
gvfs-mtp 1.52.0-1
gvfs-nfs 1.52.0-1
gvfs-smb 1.52.0-1
gvim 9.0.1882-1
gzip 1.13-2
hardinfo 0.5.1.816.g877ea2b-2
hashid 1:397.7e8473a-3
hstr 3.1-1
hydra 9.5-1
intel-media-driver 23.3.3-1
ipcalc 0.51-1
jdk-openjdk 20.0.2.u9-3
jq 1.7-1
jwt-tool 69.6c7d430-3
kerbrute 90.9cfb81e-2
kitty 0.29.2-2
lib32-gcc-libs 13.2.1-3
libreoffice-fresh 7.6.1-1
libtool 2.4.7+4+g1ec8fa28-6
libva-intel-driver 2.4.1-2
libva-mesa-driver 1:23.1.7-1
lightdm 1:1.32.0-4
lightdm-gtk-greeter 1:2.0.8-3
lightdm-gtk-greeter-settings 1.2.2-8
linux 6.5.3.arch1-1
linux-firmware 20230804.7be2766d-2
linux-headers 6.5.3.arch1-1
linux-lts 6.1.54-1
linux-lts-headers 6.1.54-1
lostfiles 4.12-1
ls_extended-git 2.0.0.r159-3
lsof 4.98.0-1
lxappearance 0.6.3-4
m4 1.4.19-3
make 4.4.1-2
man-db 2.11.2-1
man-pages 6.05.01-1
mesa 1:23.1.7-1
metasploit 6.3.27-1
mingw-w64-cmake 1-40
mingw-w64-configure 0.1.1-11
mingw-w64-gcc 12.2.0-1
nano 7.2-1
ncdu 2.3-1
neofetch 7.1.0-2
net-tools 2.10-2
networkmanager 1.44.0-1
nmap 7.94-2
noto-fonts-emoji 20220920-1
obsidian 1.4.13-1
open-vm-tools 6:12.3.0-1
openssh 9.4p1-4
openssl-1.1 1.1.1.v-1
openvpn 2.6.6-1
otf-font-awesome 6.4.2-1
p7zip 1:17.05-1
pacback 2.1.0-0
pacman 6.0.2-7
pacman-contrib 1.9.1-1
pandoc-cli 0.1.1-49
patch 2.7.6-10
perl-archive-zip 1.68-8
perl-compress-bzip2 2.28-4
perl-image-exiftool 12.60-3
perl-mime-tools 5.510-2
pipewire 1:0.3.80-1
pkgconf 1.8.1-1
podman 4.6.2-1
postgresql 15.4-2
powerline-fonts 2.8.3-2
proxychains-ng 4.16-2
pulseaudio 16.1-6
pulseaudio-alsa 1:1.2.7.1-2
pyenv 1:2.3.27-1
python2-pip 20.3.4-4
radare2 5.8.8-1
remmina 1:1.4.32-1
rofi 1.7.5-2
rofi-emoji 3.2.0-1
rsactftool 962.284d6b6-1
rsync 3.2.7-4
rust 1:1.72.1-1
sed 4.9-3
sendemail 1.56-2
sendmail 8.17.2-1
squashfs-tools 4.6.1-1
stalonetray 0.8.5-1
sudo 1.9.14.p3-1
taffybar 4.0.1-4
tcpdump 4.99.4-1
texinfo 7.0.3-1
thunar 4.18.7-1
thunar-archive-plugin 0.5.1-1
thunar-media-tags-plugin 0.4.0-1
thunar-shares-plugin 1:0.3.2-1
thunar-volman 4.18.0-1
tmux 3.3_a-7
tor 0.4.8.6-1
transset-df 6-8
ttf-dejavu-nerd 3.0.2-1
ttf-font-awesome 6.4.2-1
ttf-go-nerd 3.0.2-1
ttf-nerd-fonts-symbols 3.0.2-2
ttf-sourcecodepro-nerd 3.0.2-1
ttf-ubuntu-mono-nerd 3.0.2-1
ttf-ubuntu-nerd 3.0.2-1
tumbler 4.18.1-1
unzip 6.0-19
vulkan-intel 1:23.1.7-1
vulkan-radeon 1:23.1.7-1
webshells 46.e8e1a37-1
wget 1.21.4-1
which 2.21-6
windows-binaries 20.7d272da-2
wireshark-qt 4.0.8-1
wpscan 1:3.8.24-2
xclip 0.13-4
xcompmgr 1.1.9-1
xf86-input-vmmouse 13.2.0-1
xf86-video-amdgpu 23.0.0-1
xf86-video-ati 1:22.0.0-1
xf86-video-nouveau 1.0.17-2
xf86-video-vmware 13.4.0-1
xmobar 0.46-70
xmonad 0.17.1-101
xmonad-contrib 0.17.1-100
xorg-server 21.1.8-2
xorg-xinit 1.4.2-1
zathura 0.5.2-2
zip 3.0-10
zram-generator 1.1.2-1
